video_id,video_name,frame_name,timestamp,action_triplet,L-O_triplet,L-O_action_verb_id,L-O_action_verb_class,L-O_action_bbox,left_hand_bbox,O1_class,O1_bbox,R-O_triplet,R-O_action_verb id,R-O_action_verb class,R-O_action_bbox,right_hand_bbox,O2_class,O2_bbox,O-O_triplet,O-O_action_verb_id,O-O_action_verb_class,O-O_action_bbox,subject_class,subject_bbox,object_class,object_bbox,clip_id,clip_name,action_verb triplet,action_verb triplet_id
86,k_86,img_000021.jpg,0.84,"[{""L-O_triple1"":""none"",""O-O_triple3"":""none"",""R-O_triple2"":""(hand_right,grab,apple_middle)""}]",none,none,none,none,none,none,none,"['hand-right', 'grab', 'apple-middle']",13,grab,"{'x': 310.4771086823723, 'y': 96.65259627753252, 'width': 205.1618540723236, 'height': 148.9558114963184}","{'x': 311.36431784107947, 'y': 97.15142428785606, 'width': 174.15292353823088, 'height': 151.84407796101948}",apple-middle,"{'x': 348.06596701649175, 'y': 142.4887556221889, 'width': 97.1514242878561, 'height': 103.62818590704647}",none,none,none,none,none,none,none,none,2252,k_86_1,"['none', 'grab', 'none']",196
86,k_86,img_000022.jpg,0.88,"[{""L-O_triple1"":""none"",""O-O_triple3"":""none"",""R-O_triple2"":""(hand_right,grab,apple_middle)""}]",none,none,none,none,none,none,none,"['hand-right', 'grab', 'apple-middle']",13,grab,"{'x': 323.23235343761706, 'y': 100.00923963417588, 'width': 192.40660931707885, 'height': 139.55721009771702}","{'x': 322.7769052536669, 'y': 97.15142428785606, 'width': 177.50956689487424, 'height': 145.80211991906143}",apple-middle,"{'x': 348.06596701649175, 'y': 142.4887556221889, 'width': 97.1514242878561, 'height': 103.62818590704647}",none,none,none,none,none,none,none,none,2252,k_86_1,"['none', 'grab', 'none']",196
86,k_86,img_000023.jpg,0.92,"[{""L-O_triple1"":""none"",""O-O_triple3"":""none"",""R-O_triple2"":""(hand_right,grab,apple_middle)""}]",none,none,none,none,none,none,none,"['hand-right', 'grab', 'apple-middle']",13,grab,"{'x': 332.0486799682293, 'y': 100.00923963417588, 'width': 183.59028278646662, 'height': 139.55721009771702}","{'x': 332.9153382492428, 'y': 97.15142428785606, 'width': 175.13251537496558, 'height': 142.04815959367255}",apple-middle,"{'x': 354.9231098736347, 'y': 142.4887556221889, 'width': 96.17183245112143, 'height': 90.89349202949546}",none,none,none,none,none,none,none,none,2252,k_86_1,"['none', 'grab', 'none']",196
86,k_86,img_000024.jpg,0.96,"[{""L-O_triple1"":""none"",""O-O_triple3"":""none"",""R-O_triple2"":""(hand_right,grab,apple_middle)""}]",none,none,none,none,none,none,none,"['hand-right', 'grab', 'apple-middle']",13,grab,"{'x': 332.0486799682293, 'y': 100.00923963417588, 'width': 183.59028278646662, 'height': 139.55721009771702}","{'x': 332.9153382492428, 'y': 97.15142428785606, 'width': 175.13251537496558, 'height': 142.04815959367255}",apple-middle,"{'x': 354.9231098736347, 'y': 142.4887556221889, 'width': 96.17183245112143, 'height': 90.89349202949546}",none,none,none,none,none,none,none,none,2252,k_86_1,"['none', 'grab', 'none']",196
86,k_86,img_000025.jpg,1,"[{""L-O_triple1"":""none"",""O-O_triple3"":""none"",""R-O_triple2"":""(hand_right,grab,apple_middle)""}]",none,none,none,none,none,none,none,"['hand-right', 'grab', 'apple-middle']",13,grab,"{'x': 332.0486799682293, 'y': 100.00923963417588, 'width': 183.59028278646662, 'height': 139.55721009771702}","{'x': 332.9153382492428, 'y': 97.15142428785606, 'width': 175.13251537496558, 'height': 142.04815959367255}",apple-middle,"{'x': 354.9231098736347, 'y': 142.4887556221889, 'width': 96.17183245112143, 'height': 90.89349202949546}",none,none,none,none,none,none,none,none,2252,k_86_1,"['none', 'grab', 'none']",196
86,k_86,img_000026.jpg,1.04,"[{""L-O_triple1"":""none"",""O-O_triple3"":""none"",""R-O_triple2"":""(hand_right,grab,apple_middle)""}]",none,none,none,none,none,none,none,"['hand-right', 'grab', 'apple-middle']",13,grab,"{'x': 332.0486799682293, 'y': 100.00923963417588, 'width': 183.59028278646662, 'height': 139.55721009771702}","{'x': 332.9153382492428, 'y': 97.15142428785606, 'width': 175.13251537496558, 'height': 142.04815959367255}",apple-middle,"{'x': 355.9027017103694, 'y': 133.67242909157665, 'width': 96.17183245112147, 'height': 96.77104304990362}",none,none,none,none,none,none,none,none,2252,k_86_1,"['none', 'grab', 'none']",196
86,k_86,img_000027.jpg,1.08,"[{""L-O_triple1"":""none"",""O-O_triple3"":""none"",""R-O_triple2"":""(hand_right,grab,apple_middle)""}]",none,none,none,none,none,none,none,"['hand-right', 'grab', 'apple-middle']",13,grab,"{'x': 332.0486799682293, 'y': 100.00923963417588, 'width': 183.59028278646662, 'height': 139.55721009771702}","{'x': 332.9153382492428, 'y': 97.15142428785606, 'width': 175.13251537496558, 'height': 142.04815959367255}",apple-middle,"{'x': 355.9027017103694, 'y': 133.67242909157665, 'width': 96.17183245112147, 'height': 96.77104304990362}",none,none,none,none,none,none,none,none,2252,k_86_1,"['none', 'grab', 'none']",196
86,k_86,img_000028.jpg,1.12,"[{""L-O_triple1"":""none"",""O-O_triple3"":""none"",""R-O_triple2"":""(hand_right,grab,apple_middle)""}]",none,none,none,none,none,none,none,"['hand-right', 'grab', 'apple-middle']",13,grab,"{'x': 332.0486799682293, 'y': 100.00923963417588, 'width': 183.59028278646662, 'height': 139.55721009771702}","{'x': 332.9153382492428, 'y': 97.15142428785606, 'width': 175.13251537496558, 'height': 142.04815959367255}",apple-middle,"{'x': 355.9027017103694, 'y': 133.67242909157665, 'width': 96.17183245112147, 'height': 96.77104304990362}",none,none,none,none,none,none,none,none,2252,k_86_1,"['none', 'grab', 'none']",196
86,k_86,img_000029.jpg,1.16,"[{""L-O_triple1"":""none"",""O-O_triple3"":""none"",""R-O_triple2"":""(hand_right,grab,apple_middle)""}]",none,none,none,none,none,none,none,"['hand-right', 'grab', 'apple-middle']",13,grab,"{'x': 333.8923933209647, 'y': 90.73897531040386, 'width': 205.0292564578279, 'height': 144.8357356928786}","{'x': 334.3928035982009, 'y': 91.3943028485757, 'width': 159.0404797601199, 'height': 143.928035982009}",apple-middle,"{'x': 348.0659670164917, 'y': 133.85307346326834, 'width': 107.31797737494892, 'height': 102.38215158155187}",none,none,none,none,none,none,none,none,2252,k_86_1,"['none', 'grab', 'none']",196
86,k_86,img_000030.jpg,1.2,"[{""L-O_triple1"":""none"",""O-O_triple3"":""none"",""R-O_triple2"":""(hand_right,grab,apple_middle)""}]",none,none,none,none,none,none,none,"['hand-right', 'grab', 'apple-middle']",13,grab,"{'x': 335.2350506636221, 'y': 90.06764663907519, 'width': 198.3159697445412, 'height': 140.13643499357786}","{'x': 334.3928035982009, 'y': 91.3943028485757, 'width': 159.0404797601199, 'height': 143.928035982009}",apple-middle,"{'x': 348.0659670164917, 'y': 133.85307346326834, 'width': 97.24804730501884, 'height': 98.35417955357984}",none,none,none,none,none,none,none,none,2252,k_86_1,"['none', 'grab', 'none']",196
